ExtensibilityAPI_Version,2.0.8.0
ExternalRulesCount,0
ExternalRulesExecuted,0
PartitionKey,b23afd06-1625-416f-9b97-f784d3875a33
LicenseData,895909ab-e582-4cce-95cf-0f781959a6b2
ProductName,Snowflake Snow Conversion Tool 29.3.7+Branch.master.Sha.e0586ed46a818d83cd8caa1b0fadcd37715b8189
CoreVersion,29.3.7
AppVersion,1.5.0.0
SourceLanguage,Teradata
OSVersion,Microsoft Windows NT 10.0.22631.0
SystemRAM,Data not provided
SystemCPU,Data not provided
RunAsAdmin,Data not provided
SnowScript,True
WorkloadName,
StartConversion,2025-04-29 0:11:58 +05:30
CreateSession,2025-04-29 0:11:58 +05:30
ConversionSpeed,2
ElapsedTime,00:00:09
EndConversion,2025-04-29 0:12:08 +05:30
ParsingTime,1.7197867
FilesWithUnexpectedEncoding,0
FillSymbolStep1Time,0.1725081
FillSymbolStep2Time,3.6037505
ResolveDependencyTime,0
PreprocessingTime,0.1710384
PreConversionAssessmentTime,0.3698007
TransformationTime,1.0344527
CloseSession,2025-04-29 0:12:08 +05:30
SqlLinesCount,26
SqlFileCount,1
SqlSizeMB,0MB
SqlFilesNotGenerated,0
SqlLoCConversionRate,96.15
SqlCharacterConversionRate,94.89
SqlUnrecognizedElementsLOC,0
SqlTotalOccurrences,1
SqlFullyConvertedOccurrences,0
SqlFilesConversionRate,100
SqlTotalParsingErrors,0
SqlTotalConversionErrors,0
SqlTotalWarnings,1
SqlTotalCharacters,1037
TotalFiles,1
TotalFilesNotGenerated,0
TotalLinesOfCode,26
TotalSize,1.24KB
TotalNonParsingTransformationExceptions,0
TotalErrors,1
TotalWarnings,0
TotalParsingErrors,0
TotalConversionErrors,0
TotalCharacterConversionRate,94.89
TotalLoCConversionRate,96.15
TotalIdentifiedObjects,1
UnrecognizedElements,0
UnrecognizedElementsLOC,0
CodeCompletenessScore,100
ObjectsSuccessfullyConverted,0
ObjectConversionRate,0
TableObjectConversionRate,0
TableCharacterConversionRate,94.88
TableLoCConversionRate,96.15
TableFullyConvertedOccurrences,0
TableTotalOccurrences,1
TableTotalParsingErrors,0
TableTotalConversionErrors,0
TableTotalWarnings,1
TableTotalCharacters,1036
TableTotalLinesOfCode,26
ViewObjectConversionRate,0
ViewCharacterConversionRate,0
ViewLoCConversionRate,0
ViewFullyConvertedOccurrences,0
ViewTotalOccurrences,0
ViewTotalParsingErrors,0
ViewTotalConversionErrors,0
ViewTotalWarnings,0
ViewTotalCharacters,0
ViewTotalLinesOfCode,0
ProcedureObjectConversionRate,0
ProcedureCharacterConversionRate,0
ProcedureLoCConversionRate,0
ProcedureFullyConvertedOccurrences,0
ProcedureTotalOccurrences,0
ProcedureTotalParsingErrors,0
ProcedureTotalConversionErrors,0
ProcedureTotalWarnings,0
ProcedureTotalCharacters,0
ProcedureTotalLinesOfCode,0
ProcedureCursorOccurrences,0
ProcedureLoopOccurrences,0
FetchInLoop,0
ProceduresWithFetchInLoop,0
FunctionsWithFetchInLoop,0
CursorsWithVariablesOrParameters,0
ProceduresWithCursorsWithVariablesOrParameters,0
FunctionsWithCursorsWithVariablesOrParameters,0
FunctionObjectConversionRate,0
FunctionCharacterConversionRate,0
FunctionLoCConversionRate,0
FunctionFullyConvertedOccurrences,0
FunctionTotalOccurrences,0
FunctionTotalParsingErrors,0
FunctionTotalConversionErrors,0
FunctionTotalWarnings,0
FunctionTotalCharacters,0
FunctionTotalLinesOfCode,0
SqlTableObjectConversionRate,0
SqlTableLoCConversionRate,96.15
SqlTableTotalOccurrences,1
SqlTableFullyConvertedOccurrences,0
SqlTableTotalLinesOfCode,26
SqlTableTotalCharacters,1036
SqlTableTotalParsingErrors,0
SqlTableTotalWarnings,1
SqlTableTotalConversionErrors,0
SqlTableCharacterConversionRate,94.88
SqlViewObjectConversionRate,0
SqlViewLoCConversionRate,0
SqlViewTotalOccurrences,0
SqlViewFullyConvertedOccurrences,0
SqlViewTotalLinesOfCode,0
SqlViewTotalCharacters,0
SqlViewTotalParsingErrors,0
SqlViewTotalConversionErrors,0
SqlViewTotalWarnings,0
SqlViewCharacterConversionRate,0
SqlProcedureObjectConversionRate,0
SqlProcedureLoCConversionRate,0
SqlProcedureTotalOccurrences,0
SqlProcedureFullyConvertedOccurrences,0
SqlProcedureTotalLinesOfCode,0
SqlProcedureTotalCharacters,0
SqlProcedureTotalParsingErrors,0
SqlProcedureTotalConversionErrors,0
SqlProcedureTotalWarnings,0
SqlProcedureCharacterConversionRate,0
SqlFunctionObjectConversionRate,0
SqlFunctionLoCConversionRate,0
SqlFunctionTotalOccurrences,0
SqlFunctionFullyConvertedOccurrences,0
SqlFunctionTotalLinesOfCode,0
SqlFunctionTotalCharacters,0
SqlFunctionTotalParsingErrors,0
SqlFunctionTotalConversionErrors,0
SqlFunctionTotalWarnings,0
SqlFunctionCharacterConversionRate,0
BasicCursor,0
ProceduresWithBasicCursor,0
FunctionsWithBasicCursor,0
CursorForUpdate,0
ProceduresWithCursorForUpdate,0
FunctionsWithCursorForUpdate,0
FetchStatement,0
ProceduresWithFetchStatement,0
FunctionsWithFetchStatement,0
DynamicTotalStatements,0
DynamicTotalTables,0
DynamicTotalViews,0
DynamicExecuteStatements,0
ProceduresWithDynamicExecuteStatements,0
FunctionsWithDynamicExecuteStatements,0
DynamicProcedureCallStatements,0
TotalValidatedFiles,1
TotalInvalidFiles,1
InvalidEncodings,1
InvalidExtensions,0
InvalidSystemObjects,0
CodeUnitsOutOfScopePercentage,0
CodeUnitsOutOfScope,0
FunctionalDifferenceMessages,0
PerformanceReviews,0
TotalParsingEWIs,0
TotalOtherEWIs,1
OtherCriticalIssues,0
UniqueOtherCriticalIssues,0
UniqueParsingIssues,0
UniqueFDMs,0
UniquePRFs,0
TotalMissingObjectReferences,0
UniqueMissingObjectReferences,0
Triggers,0
TriggerLinesOfCode,0
GrantStatements,0
GrantStatementLinesOfCode,0
TotalCodeUnits,1
FullyConvertedCodeUnitsRate,0
UnScopeJavaFunctionsObjects,0
UnScopeJavaFunctionsLoC,0
UnScopeCFunctionsObjects,0
UnScopeCFunctionsLoC,0
UnScopeJavaProceduresObjects,0
UnScopeJavaProceduresLoC,0
UnScopeCProceduresObjects,0
UnScopeCProceduresLoC,0
TablesWithSetOption,0
TablesWithTemporalColumns,1
TablesWithGlobalTemporaryOption,0
TablesWithQueueOption,0
TablesWithColumnsWithPartitionByOption,0
IdentifiedObjectsLoc,26
IdentifiedObjectsLocConversionRate,96.15
ActivityCountOcurrences,0
BTEQLinesCount,0
BTEQFileCount,0
BTEQSizeMB,0
BTEQFilesNotGenerated,0
BTEQLoCConversionRate,0
BTEQCharacterConversionRate,0
BTEQUnrecognizedElements,0
BTEQUnrecognizedElementsLOC,0
BTEQTotalOccurrences,0
BTEQFullyConvertedOccurrences,0
BTEQFilesConversionRate,0
BTEQTotalParsingErrors,0
BTEQTotalConversionErrors,0
BTEQTotalWarnings,0
BTEQTotalCharacters,0
DynamicResultSetsCount,0
ColumnsWithPartitionByOption,0
FastLoadLinesCount,0
FastLoadFileCount,0
FastLoadSizeMB,0
FastLoadFilesNotGenerated,0
FastLoadLoCConversionRate,0
FastLoadCharacterConversionRate,0
FastLoadUnrecognizedElements,0
FastLoadUnrecognizedElementsLOC,0
FastLoadTotalOccurrences,0
FastLoadFullyConvertedOccurrences,0
FastLoadFilesConversionRate,0
FastLoadTotalParsingErrors,0
FastLoadTotalConversionErrors,0
FastLoadTotalWarnings,0
FastLoadTotalCharacters,0
MultiLoadLinesCount,0
